Cluster,Best TSP value,Number of Customers,Mean distance between points,Mean distance between points and centeroid,Dist between WH and Centeroid
0,0.0,0,0.0,6433.188338598211,6433.188338598211
1,515.949999995,30,247.29032258064515,5.42885288292255,18.337887061430568
2,292.58928572499997,10,40.68181818181818,5.247063892991618,29.37019961048889
3,0.0,0,0.0,6433.188338598211,6433.188338598211
0,515.949999995,30,247.29032258064515,5.42885288292255,18.337887061430568
1,0.0,0,0.0,6433.188338598211,6433.188338598211
2,254.69071429,9,28.15,4.606577096706268,28.16280498971792
3,122.89857143500001,1,0.0,20.131749079501038,40.263498159002076
0,0.0,0,0.0,6433.188338598211,6433.188338598211
1,292.58928572499997,10,40.68181818181818,5.247063892991618,29.37019961048889
2,315.45,17,111.5,3.71996019999703,15.37602643593234
3,271.499999995,13,74.75,3.626355211813871,22.62554166745024
0,292.58928572499997,10,40.68181818181818,5.247063892991618,29.37019961048889
1,0.0,0,0.0,6433.188338598211,6433.188338598211
2,315.45,17,111.5,3.71996019999703,15.37602643593234
3,271.499999995,13,74.75,3.626355211813871,22.62554166745024
0,0.0,0,0.0,6433.188338598211,6433.188338598211
1,315.45,17,111.5,3.71996019999703,15.37602643593234
2,271.499999995,13,74.75,3.626355211813871,22.62554166745024
3,292.58928572499997,10,40.68181818181818,5.247063892991618,29.37019961048889
0,0.0,0,0.0,6433.188338598211,6433.188338598211
1,0.0,0,0.0,6433.188338598211,6433.188338598211
2,292.58928572499997,10,40.68181818181818,5.247063892991618,29.37019961048889
3,515.949999995,30,247.29032258064515,5.42885288292255,18.337887061430568
0,271.499999995,13,74.75,3.626355211813871,22.62554166745024
1,292.58928572499997,10,40.68181818181818,5.247063892991618,29.37019961048889
2,315.45,17,111.5,3.71996019999703,15.37602643593234
3,0.0,0,0.0,6433.188338598211,6433.188338598211
0,0.0,0,0.0,6433.188338598211,6433.188338598211
1,0.0,0,0.0,6433.188338598211,6433.188338598211
2,292.58928572499997,10,40.68181818181818,5.247063892991618,29.37019961048889
3,515.949999995,30,247.29032258064515,5.42885288292255,18.337887061430568
0,254.69071429,9,28.15,4.606577096706268,28.16280498971792
1,315.45,17,111.5,3.71996019999703,15.37602643593234
2,122.89857143500001,1,0.0,20.131749079501038,40.263498159002076
3,271.499999995,13,74.75,3.626355211813871,22.62554166745024
0,271.499999995,13,74.75,3.626355211813871,22.62554166745024
1,165.19,6,26.142857142857142,4.158816610765731,18.23571872422053
2,292.58928572499997,10,40.68181818181818,5.247063892991618,29.37019961048889
3,210.26000000000002,11,59.833333333333336,3.4326363826060753,13.821831850761946
0,271.499999995,13,74.75,3.626355211813871,22.62554166745024
1,292.58928572499997,10,40.68181818181818,5.247063892991618,29.37019961048889
2,315.45,17,111.5,3.71996019999703,15.37602643593234
3,0.0,0,0.0,6433.188338598211,6433.188338598211
0,271.499999995,13,74.75,3.626355211813871,22.62554166745024
1,292.58928572499997,10,40.68181818181818,5.247063892991618,29.37019961048889
2,315.45,17,111.5,3.71996019999703,15.37602643593234
3,0.0,0,0.0,6433.188338598211,6433.188338598211
0,147.655,7,28.25,3.4598623940406874,13.029194128289484
1,220.795,10,53.22727272727273,3.7353610305190093,17.049137234769404
2,292.58928572499997,10,40.68181818181818,5.247063892991618,29.37019961048889
3,271.499999995,13,74.75,3.626355211813871,22.62554166745024
0,0.0,0,0.0,6433.188338598211,6433.188338598211
1,515.949999995,30,247.29032258064515,5.42885288292255,18.337887061430568
2,0.0,0,0.0,6433.188338598211,6433.188338598211
3,292.58928572499997,10,40.68181818181818,5.247063892991618,29.37019961048889
0,292.58928572499997,10,40.68181818181818,5.247063892991618,29.37019961048889
1,515.949999995,30,247.29032258064515,5.42885288292255,18.337887061430568
2,0.0,0,0.0,6433.188338598211,6433.188338598211
3,0.0,0,0.0,6433.188338598211,6433.188338598211
0,271.499999995,13,74.75,3.626355211813871,22.62554166745024
1,254.69071429,9,28.15,4.606577096706268,28.16280498971792
2,315.45,17,111.5,3.71996019999703,15.37602643593234
3,122.89857143500001,1,0.0,20.131749079501038,40.263498159002076
0,292.58928572499997,10,40.68181818181818,5.247063892991618,29.37019961048889
1,267.21,14,83.86666666666666,3.5224588353565185,14.655013137183682
2,225.40500000000003,8,40.0,4.972970881054082,19.950952753722103
3,165.33499999500003,8,36.44444444444444,3.80087762745255,23.748501929726945
0,0.0,0,0.0,6433.188338598211,6433.188338598211
1,271.499999995,13,74.75,3.626355211813871,22.62554166745024
2,315.45,17,111.5,3.71996019999703,15.37602643593234
3,292.58928572499997,10,40.68181818181818,5.247063892991618,29.37019961048889
0,243.97000000000003,11,62.916666666666664,3.736351362613013,16.748013182276623
1,271.499999995,13,74.75,3.626355211813871,22.62554166745024
2,292.58928572499997,10,40.68181818181818,5.247063892991618,29.37019961048889
3,118.48,6,17.571428571428573,3.2208676658803745,13.000673150307554
0,118.48,6,17.571428571428573,3.2208676658803745,13.000673150307554
1,292.58928572499997,10,40.68181818181818,5.247063892991618,29.37019961048889
2,243.97000000000003,11,62.916666666666664,3.736351362613013,16.748013182276623
3,271.499999995,13,74.75,3.626355211813871,22.62554166745024
0,0.0,0,0.0,6433.188338598211,6433.188338598211
1,292.58928572499997,10,40.68181818181818,5.247063892991618,29.37019961048889
2,271.499999995,13,74.75,3.626355211813871,22.62554166745024
3,315.45,17,111.5,3.71996019999703,15.37602643593234
0,254.69071429,9,28.15,4.606577096706268,28.16280498971792
1,122.89857143500001,1,0.0,20.131749079501038,40.263498159002076
2,315.45,17,111.5,3.71996019999703,15.37602643593234
3,271.499999995,13,74.75,3.626355211813871,22.62554166745024
0,292.58928572499997,10,40.68181818181818,5.247063892991618,29.37019961048889
1,315.45,17,111.5,3.71996019999703,15.37602643593234
2,271.499999995,13,74.75,3.626355211813871,22.62554166745024
3,0.0,0,0.0,6433.188338598211,6433.188338598211
0,292.58928572499997,10,40.68181818181818,5.247063892991618,29.37019961048889
1,210.26000000000002,11,59.833333333333336,3.4326363826060753,13.821831850761946
2,165.19,6,26.142857142857142,4.158816610765731,18.23571872422053
3,271.499999995,13,74.75,3.626355211813871,22.62554166745024
0,118.48,6,17.571428571428573,3.2208676658803745,13.000673150307554
1,243.97000000000003,11,62.916666666666664,3.736351362613013,16.748013182276623
2,271.499999995,13,74.75,3.626355211813871,22.62554166745024
3,292.58928572499997,10,40.68181818181818,5.247063892991618,29.37019961048889
0,271.499999995,13,74.75,3.626355211813871,22.62554166745024
1,0.0,0,0.0,6433.188338598211,6433.188338598211
2,315.45,17,111.5,3.71996019999703,15.37602643593234
3,292.58928572499997,10,40.68181818181818,5.247063892991618,29.37019961048889
0,228.56,12,66.88461538461539,3.43038722151221,14.086122375211795
1,161.750000005,6,23.142857142857142,4.401641746304144,19.01997097278478
2,255.63999999,12,67.34615384615384,3.6680022020890304,22.727658897284634
3,292.58928572499997,10,40.68181818181818,5.247063892991618,29.37019961048889
0,0.0,0,0.0,6433.188338598211,6433.188338598211
1,292.58928572499997,10,40.68181818181818,5.247063892991618,29.37019961048889
2,315.45,17,111.5,3.71996019999703,15.37602643593234
3,271.499999995,13,74.75,3.626355211813871,22.62554166745024
0,0.0,0,0.0,6433.188338598211,6433.188338598211
1,0.0,0,0.0,6433.188338598211,6433.188338598211
2,292.58928572499997,10,40.68181818181818,5.247063892991618,29.37019961048889
3,515.949999995,30,247.29032258064515,5.42885288292255,18.337887061430568
0,254.69071429,9,28.15,4.606577096706268,28.16280498971792
1,271.499999995,13,74.75,3.626355211813871,22.62554166745024
2,122.89857143500001,1,0.0,20.131749079501038,40.263498159002076
3,315.45,17,111.5,3.71996019999703,15.37602643593234
0,292.58928572499997,10,40.68181818181818,5.247063892991618,29.37019961048889
1,0.0,0,0.0,6433.188338598211,6433.188338598211
2,515.949999995,30,247.29032258064515,5.42885288292255,18.337887061430568
3,0.0,0,0.0,6433.188338598211,6433.188338598211
0,315.45,17,111.5,3.71996019999703,15.37602643593234
1,271.499999995,13,74.75,3.626355211813871,22.62554166745024
2,292.58928572499997,10,40.68181818181818,5.247063892991618,29.37019961048889
3,0.0,0,0.0,6433.188338598211,6433.188338598211
